,2003-04-01_SIDToday_-_Deployed_SIGINT_Analysts--An_Urgent_Need.pdf.txt,2003-04-01_SIDToday_-_Practical_Jokes_and_April_Fools.pdf.txt,2003-04-02_SIDToday_-_Last_QUICKMASK_Training_Today.pdf.txt,2003-04-02_SIDToday_-_New_Hire_Whats_On_Your_Mind_Session_--_Today.pdf.txt,2003-04-02_SIDToday_-_SIGINT_Strategy__The_Importance_of_Common_Goals.pdf.txt,2003-04-03_SIDToday_-_GEOCELL_Supports_IRAQI_FREEDOM.pdf.txt,2003-04-03_SIDToday_-_SID_Leadership_Transition_Passing_the_Baton.pdf.txt,2003-04-03_SIDToday_-_Schedule_for_3rd_and_4th_Quarter_Tools_Courses.pdf.txt,2003-04-04_SIDToday_-_Profiles_SID_Communications_and_Support_Operations.pdf.txt,2003-04-04_SIDToday_-_Read_All_About_Us.pdf.txt,2003-04-07_SIDToday_-_ICAP_Call_for_Applications.pdf.txt,2003-04-07_SIDToday_-_Support_to_UN_Diplomatic_Efforts_on_Iraq.pdf.txt,2003-04-08_SIDToday_-_Profile_SID_Registry_-_Grand_Central.pdf.txt,2003-04-08_SIDToday_-_Promotion_Cycle_Recap.pdf.txt,2003-04-09_SIDToday_-_Profile_SIGINT_Support_Services.pdf.txt,2003-04-09_SIDToday_-_Uncovering_North_Korea_Nuclear_Programs.pdf.txt,Sum
who,0.007407407407407408,0.0016750418760469012,,,,,0.0014577259475218659,0.0012406947890818859,0.003861003861003861,0.008695652173913044,,,,,,,0.024337526054974967
icap,,,,,,,,,,,0.024054982817869417,,,,,,0.024054982817869417
there,0.003703703703703704,0.0016750418760469012,,,,,0.008746355685131196,,,0.002173913043478261,,0.002288329519450801,0.0048543689320388345,,,,0.0234417127598497
training,,,0.01675977653631285,,,,,0.004962779156327543,,,0.001718213058419244,,,,,,0.02344076875105964
were,,0.006700167504187605,,0.0045871559633027525,,,0.0014577259475218659,,,0.002173913043478261,,0.002288329519450801,,,,0.006211180124223602,0.02341847210216489
today,,,0.0111731843575419,0.0045871559633027525,0.002325581395348837,,0.0014577259475218659,,0.003861003861003861,,,,,,,,0.023404651524719218
these,0.011111111111111112,0.0016750418760469012,,,,0.002881844380403458,,,0.007722007722007722,,,,,,,,0.02339000508956919
contact,,,0.00558659217877095,0.0045871559633027525,,,,0.0024813895781637717,,,0.003436426116838488,,,,0.006097560975609756,,0.022189124812685715
see,,,,0.0045871559633027525,0.004651162790697674,0.002881844380403458,,,,0.002173913043478261,,,,0.004784688995215311,0.003048780487804878,,0.022127545660902335
been,,0.005025125628140704,,,,,0.0058309037900874635,0.0012406947890818859,,,,0.006864988558352402,,,,0.003105590062111801,0.022067302827774256
other,,0.0016750418760469012,,,,0.005763688760806916,,0.0012406947890818859,,,0.001718213058419244,,0.0024271844660194173,,0.006097560975609756,0.003105590062111801,0.022027973988095917
their,0.003703703703703704,0.0033500837520938024,,,,,0.0014577259475218659,0.0012406947890818859,,0.006521739130434782,,,,0.0023923444976076554,0.003048780487804878,,0.02171507230824857
director,0.003703703703703704,,,,0.002325581395348837,,0.0029154518950437317,,,,,0.002288329519450801,0.0048543689320388345,0.0023923444976076554,0.003048780487804878,,0.021528560430998437
performance,,,,,0.009302325581395349,,,,,,,,,0.011961722488038277,,,0.021264048069433626
profiles,,,,,,,,,0.015444015444015444,,,,0.0024271844660194173,,0.003048780487804878,,0.020919980397839738
cso,,,,,,,,,0.015444015444015444,,,,0.0024271844660194173,,0.003048780487804878,,0.020919980397839738
both,0.003703703703703704,,,,,0.005763688760806916,,,,0.002173913043478261,,,,0.0023923444976076554,,0.006211180124223602,0.02024483012982014
geo,,,,,,0.020172910662824207,,,,,,,,,,,0.020172910662824207
security,,,,,,,,,0.007722007722007722,0.002173913043478261,,0.004576659038901602,0.0024271844660194173,,0.003048780487804878,,0.019948544758211877
military,0.014814814814814815,,,,,,,0.0024813895781637717,,0.002173913043478261,,,,,,,0.01947011743645685
management,,,,,,,,,,,0.003436426116838488,,0.0024271844660194173,0.007177033492822967,0.006097560975609756,,0.01913820505129063
issues,,,,,,,,,0.007722007722007722,,,,0.0024271844660194173,0.0023923444976076554,0.006097560975609756,,0.018639097661244552
so,,0.0033500837520938024,,0.0045871559633027525,0.004651162790697674,,0.0014577259475218659,,,,,0.004576659038901602,,,,,0.0186227874925177
he,,0.0033500837520938024,,,,,0.0014577259475218659,,,,,0.013729977116704805,,,,,0.018537786816320474
analysts,0.018518518518518517,,,,,,,,,,,,,,,,0.018518518518518517
one,0.003703703703703704,0.0016750418760469012,,,0.004651162790697674,,0.0029154518950437317,,,,,,,0.0023923444976076554,0.003048780487804878,,0.018386485250904545
organization,,,0.00558659217877095,,0.002325581395348837,,,,0.003861003861003861,,0.003436426116838488,,,,0.003048780487804878,,0.018258384039767015
last,0.003703703703703704,0.0016750418760469012,0.0111731843575419,,,,0.0014577259475218659,,,,,,,,,,0.01800965588481437
know,,0.0033500837520938024,,0.0045871559633027525,0.002325581395348837,,0.004373177842565598,,,,,,,,,0.003105590062111801,0.01774158901542279
korea,,,,,,,,,,0.002173913043478261,,,,,,0.015527950310559006,0.017701863354037266
had,,0.005025125628140704,0.00558659217877095,,,,0.0014577259475218659,,,,,0.002288329519450801,,,,0.003105590062111801,0.017463363335996122
into,0.003703703703703704,0.0016750418760469012,,,,,,,,,,0.002288329519450801,0.0048543689320388345,0.004784688995215311,,,0.01730613302645555
his,,0.0033500837520938024,,,,,,,,,,0.013729977116704805,,,,,0.017080060868798607
next,,,,,,,,,0.007722007722007722,0.002173913043478261,,,,0.007177033492822967,,,0.01707295425830895
unknown,,0.0016750418760469012,0.00558659217877095,0.0045871559633027525,,,,0.0012406947890818859,,0.002173913043478261,0.001718213058419244,,,,,,0.016981610909099994
web,,,0.00558659217877095,,,0.002881844380403458,,0.0012406947890818859,,,0.001718213058419244,,0.0024271844660194173,,0.003048780487804878,,0.01690330936049983
quickmask,,,0.01675977653631285,,,,,,,,,,,,,,0.01675977653631285
made,0.003703703703703704,0.0016750418760469012,,,,0.002881844380403458,0.0014577259475218659,,,,,0.004576659038901602,,0.0023923444976076554,,,0.016687319444185184
effort,0.007407407407407408,,,,,,,,,,,,,,0.003048780487804878,0.006211180124223602,0.016667368019435885
than,,0.0016750418760469012,,,,0.002881844380403458,,,,,0.001718213058419244,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,,0.016431738285752357
new,,0.005025125628140704,,0.0045871559633027525,,,0.0014577259475218659,0.0024813895781637717,,,,0.002288329519450801,,,,,0.015839726636579895
ve,,,0.00558659217877095,,0.002325581395348837,,0.0029154518950437317,,,,,,0.0024271844660194173,0.0023923444976076554,,,0.01564715443279059
about,,0.0016750418760469012,,,0.002325581395348837,,,,,0.004347826086956522,,,0.0024271844660194173,0.004784688995215311,,,0.01556032281958699
go,0.003703703703703704,,0.00558659217877095,,0.002325581395348837,,0.0014577259475218659,,,,,,0.0024271844660194173,,,,0.015500787691364773
applications,,,,,,,,,,,0.015463917525773196,,,,,,0.015463917525773196
analysis,0.003703703703703704,,,,,0.005763688760806916,,0.0012406947890818859,,,,0.002288329519450801,0.0024271844660194173,,,,0.015423601239062723
just,,,,,0.002325581395348837,,0.0029154518950437317,,,,,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,0.003048780487804878,,0.015397672261275322
providing,0.007407407407407408,,,,,0.002881844380403458,,,,,0.001718213058419244,,,,0.003048780487804878,,0.015056245334034987
t,,0.0016750418760469012,,0.0045871559633027525,,,0.008746355685131196,,,,,,,,,,0.015008553524480849
deputy,0.003703703703703704,,,,,,,,0.003861003861003861,,0.001718213058419244,0.002288329519450801,,,,0.003105590062111801,0.014676840204689411
every,,0.0016750418760469012,,,0.002325581395348837,,0.0029154518950437317,,,0.002173913043478261,,,,0.0023923444976076554,0.003048780487804878,,0.014531113195330264
how,,0.0016750418760469012,,,0.002325581395348837,,,,,,0.001718213058419244,,0.0024271844660194173,,,0.006211180124223602,0.014357200920058
role,0.003703703703703704,,,,,,0.0014577259475218659,,0.003861003861003861,0.002173913043478261,,,,,0.003048780487804878,,0.014245127043512568
do,,,,,,,0.007288629737609329,0.0024813895781637717,,0.002173913043478261,,0.002288329519450801,,,,,0.014232261878702161
take,,,0.00558659217877095,,0.002325581395348837,,,,0.003861003861003861,,,0.002288329519450801,,,,,0.014061506954574449
central,,,,,,,,,0.003861003861003861,0.002173913043478261,,,0.0048543689320388345,,0.003048780487804878,,0.013938066324325836
reporting,,,,,,0.005763688760806916,,0.0012406947890818859,,,,0.006864988558352402,,,,,0.013869372108241206
many,,0.0016750418760469012,,,0.002325581395348837,,,,,0.002173913043478261,,0.004576659038901602,,,,0.003105590062111801,0.0138567854158874
provide,,,,,,0.002881844380403458,,,0.003861003861003861,,,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,,,0.013850706724485193
data,0.003703703703703704,,,,0.002325581395348837,0.002881844380403458,,,,,,,0.0048543689320388345,,,,0.013765498411494834
session,,,,0.013761467889908258,,,,,,,,,,,,,0.013761467889908258
un,,,,,,,,,,,,0.013729977116704805,,,,,0.013729977116704805
directorate,,,,,0.004651162790697674,,,,,,0.003436426116838488,,0.0024271844660194173,,0.003048780487804878,,0.013563553861360458
need,0.011111111111111112,,,,,,,,,,,,,0.0023923444976076554,,,0.013503455608718767
internal,,,0.00558659217877095,,,,,,0.003861003861003861,,0.001718213058419244,0.002288329519450801,,,,,0.013454138617644856
key,0.007407407407407408,,,,,0.002881844380403458,,,,,,,,,,0.003105590062111801,0.013394841849922668
customers,0.003703703703703704,,,,,0.005763688760806916,0.0014577259475218659,,,,,,0.0024271844660194173,,,,0.013352302878051902
make,,,0.00558659217877095,,,,0.0014577259475218659,,0.003861003861003861,,,,0.0024271844660194173,,,,0.013332506453316094
look,,,0.00558659217877095,,,,0.0029154518950437317,,,,,,,0.004784688995215311,,,0.013286733069029992
never,0.003703703703703704,,,,,,0.007288629737609329,,,,,0.002288329519450801,,,,,0.013280662960763833
policy,,,,,,,,,0.007722007722007722,,,,0.0024271844660194173,,0.003048780487804878,,0.013197972675832018
affairs,,,,,,,,,0.007722007722007722,,,,0.0024271844660194173,,0.003048780487804878,,0.013197972675832018
series,,,,,,,,,0.007722007722007722,,,,0.0024271844660194173,,0.003048780487804878,,0.013197972675832018
legislative,,,,,,,,,0.007722007722007722,,,,0.0024271844660194173,,0.003048780487804878,,0.013197972675832018
leadership,,,,,0.002325581395348837,0.002881844380403458,0.0014577259475218659,,,,0.001718213058419244,,,0.004784688995215311,,,0.013168053776908717
number,,0.0033500837520938024,,,,0.002881844380403458,,,,,0.006872852233676976,,,,,,0.013104780366174237
agency,,,,,,0.002881844380403458,,0.0012406947890818859,,0.006521739130434782,,,0.0024271844660194173,,,,0.013071462765939543
years,,,,0.0045871559633027525,0.002325581395348837,,0.0014577259475218659,,,,,0.002288329519450801,,0.0023923444976076554,,,0.013051137323231913
where,,0.0016750418760469012,,0.0045871559633027525,0.002325581395348837,,0.004373177842565598,,,,,,,,,,0.012960957077264088
representative,,,0.00558659217877095,,,,,,,,,0.006864988558352402,,,,,0.012451580737123352
nuclear,,,,,,,,,,,,,,,,0.012422360248447204,0.012422360248447204
position,,,,,0.002325581395348837,,0.0014577259475218659,,,,0.00859106529209622,,,,,,0.012374372634966924
correspondence,,,,,,,,,,,,,0.012135922330097087,,,,0.012135922330097087
such,,0.0016750418760469012,,,,,,,,0.004347826086956522,,,,,0.006097560975609756,,0.01212042893861318
its,,0.0016750418760469012,,,0.002325581395348837,0.005763688760806916,,,,,,0.002288329519450801,,,,,0.012052641551653455
endorsement,,,,,,,,,,,0.012027491408934709,,,,,,0.012027491408934709
feedback,,,,,,,,,,,,0.002288329519450801,,0.009569377990430622,,,0.011857707509881422
grand,,,,,,,,,0.003861003861003861,,,,0.0048543689320388345,,0.003048780487804878,,0.011764153280847574
fools,,0.011725293132328308,,,,,,,,,,,,,,,0.011725293132328308
working,0.003703703703703704,,0.00558659217877095,,0.002325581395348837,,,,,,,,,,,,0.01161587727782349
korean,,,,,,,,,,0.002173913043478261,,,,,,0.009316770186335404,0.011490683229813664
now,,0.0033500837520938024,,,0.002325581395348837,,,0.0012406947890818859,,0.002173913043478261,,,,0.0023923444976076554,,,0.011482617477610441
diplomatic,,,,,,,,,,,,0.011441647597254004,,,,,0.011441647597254004
ambassador,,,,,,,,,,,,0.011441647597254004,,,,,0.011441647597254004
done,0.003703703703703704,,,,,,0.0029154518950437317,,,,,,0.0024271844660194173,0.0023923444976076554,,,0.011438684562374507
week,,,,,,,0.0014577259475218659,,0.007722007722007722,0.002173913043478261,,,,,,,0.01135364671300785
specific,,,,,,0.005763688760806916,,,0.003861003861003861,,0.001718213058419244,,,,,,0.011342905680230022
source,,0.0016750418760469012,,,,,,,,0.006521739130434782,,,,,,0.003105590062111801,0.011302371068593484
process,,,,,,,,,,,0.001718213058419244,,,0.009569377990430622,,,0.011287591048849865
two,,,,0.0045871559633027525,0.002325581395348837,,,,,0.004347826086956522,,,,,,,0.01126056344560811
sessions,,,0.0111731843575419,,,,,,,,,,,,,,0.0111731843575419
class,,,,,,,,0.011166253101736972,,,,,,,,,0.011166253101736972
some,,0.0016750418760469012,,,,,,,,0.002173913043478261,,,0.007281553398058253,,,,0.011130508317583415
deployed,0.011111111111111112,,,,,,,,,,,,,,,,0.011111111111111112
must,,,,,,,,0.0024813895781637717,,,0.00859106529209622,,,,,,0.011072454870259991
iraqi,,,,,,0.008645533141210375,,,,,,0.002288329519450801,,,,,0.010933862660661176
help,0.003703703703703704,,,,0.002325581395348837,,,,,,,,0.0048543689320388345,,,,0.010883654031091376
february,,0.0016750418760469012,,,,,,,,,,0.009153318077803204,,,,,0.010828359953850106
addition,,,,,0.002325581395348837,0.002881844380403458,,,,,,,,0.0023923444976076554,0.003048780487804878,,0.010648550761164829
success,0.003703703703703704,,,,0.002325581395348837,,0.0014577259475218659,,,,,,,,,0.003105590062111801,0.010592601108686208
against,,,,,0.004651162790697674,,0.0014577259475218659,,,0.002173913043478261,,0.002288329519450801,,,,,0.010571131301148602
however,0.003703703703703704,,,,,,,,,0.004347826086956522,,,,0.0023923444976076554,,,0.010443874288267882
supporting,,,,,,0.008645533141210375,,,,,0.001718213058419244,,,,,,0.010363746199629618
dates,,0.0016750418760469012,,,,,,0.008684863523573201,,,,,,,,,0.010359905399620103
when,,0.0033500837520938024,,0.0045871559633027525,,,,,,,,0.002288329519450801,,,,,0.010225569234847355
attend,,,0.00558659217877095,0.0045871559633027525,,,,,,,,,,,,,0.010173748142073703
out,,,,,,,0.0014577259475218659,,0.003861003861003861,,,,0.0048543689320388345,,,,0.010173098740564561
past,,,,0.0045871559633027525,,,0.0014577259475218659,,,,0.001718213058419244,,,0.0023923444976076554,,,0.010155439466851518
get,,0.0016750418760469012,,0.0045871559633027525,,,0.0014577259475218659,,,,,,0.0024271844660194173,,,,0.010147108252890936
production,,,,,,,,,,,,0.004576659038901602,0.0024271844660194173,,,0.003105590062111801,0.010109433567032821
any,,,,,,,,0.0024813895781637717,,0.002173913043478261,,,,0.0023923444976076554,0.003048780487804878,,0.010096427607054568
future,,,,0.0045871559633027525,0.002325581395348837,,0.0014577259475218659,,,,0.001718213058419244,,,,,,0.010088676364592701
control,,,,,,,0.0014577259475218659,,,,,,0.0024271844660194173,,0.003048780487804878,0.003105590062111801,0.010039280963457962
d,,0.0016750418760469012,,,,,,,,0.004347826086956522,0.001718213058419244,0.002288329519450801,,,,,0.010029410540873468
additional,0.003703703703703704,,,0.0045871559633027525,,,,,,,0.001718213058419244,,,,,,0.0100090727254257
efforts,,,,,0.002325581395348837,,,,,,,0.004576659038901602,,,,0.003105590062111801,0.01000783049636224
no,,,,,,,,,,,0.005154639175257732,,0.0024271844660194173,0.0023923444976076554,,,0.009974168138884805
important,,,,0.0045871559633027525,0.002325581395348837,,,,,,,,,,0.003048780487804878,,0.009961517846456467
ensure,,,,0.0045871559633027525,,0.002881844380403458,,,,,,,0.0024271844660194173,,,,0.00989618480972563
through,,,,,,0.002881844380403458,,,,,0.006872852233676976,,,,,,0.009754696614080434
positions,0.007407407407407408,,,,0.002325581395348837,,,,,,,,,,,,0.009732988802756245
direct,0.007407407407407408,,,,,,,,,,,0.002288329519450801,,,,,0.009695736926858208
areas,,,,,,0.005763688760806916,,,0.003861003861003861,,,,,,,,0.009624692621810777
promotion,,,,,,,,,,,,,,0.009569377990430622,,,0.009569377990430622
my,0.003703703703703704,,,,,,0.0058309037900874635,,,,,,,,,,0.009534607493791168
but,,,,,,,0.0058309037900874635,0.0012406947890818859,,,,,0.0024271844660194173,,,,0.009498783045188766
being,,0.0016750418760469012,0.00558659217877095,,,,,,,0.002173913043478261,,,,,,,0.009435547098296112
workforce,,,,0.0045871559633027525,,,,,,,,,,0.004784688995215311,,,0.009371844958518064
enrichment,,,,,,,,,,,,,,,,0.009316770186335404,0.009316770186335404
koreans,,,,,,,,,,,,,,,,0.009316770186335404,0.009316770186335404
goals,,,,,0.009302325581395349,,,,,,,,,,,,0.009302325581395349
going,,,,,,,0.0014577259475218659,0.0012406947890818859,,,0.001718213058419244,,0.0048543689320388345,,,,0.009271002727061831
mind,,,,0.009174311926605505,,,,,,,,,,,,,0.009174311926605505
read,,,,,0.004651162790697674,,,,,0.002173913043478261,,0.002288329519450801,,,,,0.009113405353626735
year,,0.006700167504187605,,,,,,,,,,,,0.0023923444976076554,,,0.00909251200179526
level,,,,,,,,,,,0.001718213058419244,,,0.007177033492822967,,,0.00889524655124221
continues,0.003703703703703704,,,,,0.002881844380403458,,,,,,0.002288329519450801,,,,,0.008873877603557963
elements,,,,,,0.005763688760806916,,,,,,,,,0.003048780487804878,,0.008812469248611794
personnel,,,,,,,,0.0024813895781637717,0.003861003861003861,,,,0.0024271844660194173,,,,0.008769577905187051
job,,,,,,,0.0014577259475218659,,,,,,0.0048543689320388345,0.0023923444976076554,,,0.008704439377168355
perform,,,,,,,,,0.003861003861003861,,,,0.0024271844660194173,0.0023923444976076554,,,0.008680532824630934
allow,,,,,,,,,0.003861003861003861,,,,,0.004784688995215311,,,0.008645692856219172
extended,,,0.00558659217877095,,,,,,,,,,,,0.003048780487804878,,0.008635372666575828
unclassified,,,,,,,,,,,0.00859106529209622,,,,,,0.00859106529209622
application,,,,,,,,,,,0.00859106529209622,,,,,,0.00859106529209622
spf,,,,,,,,,,,0.00859106529209622,,,,,,0.00859106529209622
world,,,,,,,0.0029154518950437317,0.0012406947890818859,,0.004347826086956522,,,,,,,0.00850397277108214
opportunity,,,0.00558659217877095,,,,0.0029154518950437317,,,,,,,,,,0.008502044073814682
state,,,,,,,,,,,,0.002288329519450801,,,,0.006211180124223602,0.008499509643674403
note,,,,0.0045871559633027525,,,,,,0.002173913043478261,0.001718213058419244,,,,,,0.008479282065200256
because,,0.0016750418760469012,,0.0045871559633027525,,,,,,0.002173913043478261,,,,,,,0.008436110882827915
did,,0.0016750418760469012,,,,,0.0014577259475218659,,,0.002173913043478261,,,,,,0.003105590062111801,0.00841227092915883
cia,,,,,,,,,,0.002173913043478261,,,,,,0.006211180124223602,0.008385093167701863
would,,,,,,,,,,0.002173913043478261,,,,,,0.006211180124223602,0.008385093167701863
partridge,,0.008375209380234505,,,,,,,,,,,,,,,0.008375209380234505
message,0.003703703703703704,,,,0.004651162790697674,,,,,,,,,,,,0.008354866494401378
daily,,,,,,,,,0.003861003861003861,0.002173913043478261,,0.002288329519450801,,,,,0.008323246423932923
packages,,,,,,,,,,,0.003436426116838488,,0.0048543689320388345,,,,0.008290795048877322
field,0.003703703703703704,0.0016750418760469012,,,,0.002881844380403458,,,,,,,,,,,0.008260589960154063
manager,,,,,,,,,,,0.005154639175257732,,,,,0.003105590062111801,0.008260229237369533
me,,,,,,,0.0058309037900874635,,,,,,,0.0023923444976076554,,,0.008223248287695118
way,,,,,0.002325581395348837,,0.0058309037900874635,,,,,,,,,,0.0081564851854363
mapping,,,,,0.002325581395348837,0.005763688760806916,,,,,,,,,,,0.008089270156155754
part,,,,,,0.002881844380403458,0.0029154518950437317,,,,,0.002288329519450801,,,,,0.00808562579489799
activity,,,,,,0.005763688760806916,,,,,,0.002288329519450801,,,,,0.008052018280257717
j,0.003703703703703704,,,,,,,0.0012406947890818859,,,,,,,,0.003105590062111801,0.00804998855489739
own,,0.0033500837520938024,,,0.004651162790697674,,,,,,,,,,,,0.008001246542791477
above,,,0.00558659217877095,,,,,,,,,,,0.0023923444976076554,,,0.007978936676378605
around,,,,,,0.002881844380403458,0.0029154518950437317,,,0.002173913043478261,,,,,,,0.00797120931892545
visit,,,,,,,0.0014577259475218659,,,,0.001718213058419244,0.002288329519450801,0.0024271844660194173,,,,0.007891452991411328
managing,,,,,,,,,0.007722007722007722,,,,,,,,0.007722007722007722
only,,,,,0.002325581395348837,,,,,,,0.002288329519450801,,,,0.003105590062111801,0.007719500976911439
could,0.003703703703703704,0.0016750418760469012,,,,,,,,,,0.002288329519450801,,,,,0.007667075099201406
potential,,,,,,0.002881844380403458,,,,,,,,0.004784688995215311,,,0.007666533375618768
essential,,,,,0.002325581395348837,,,,,,,0.002288329519450801,,,0.003048780487804878,,0.007662691402604516
most,,0.0016750418760469012,,,0.002325581395348837,,0.0014577259475218659,,,0.002173913043478261,,,,,,,0.0076322622623958645
signals,0.003703703703703704,,,,,,0.0014577259475218659,,,,,,0.0024271844660194173,,,,0.007588614117244987
best,,,,,,,0.0029154518950437317,0.0024813895781637717,,0.002173913043478261,,,,,,,0.007570754516685764
overall,,,,,0.004651162790697674,0.002881844380403458,,,,,,,,,,,0.007533007171101133
better,,,,,,,0.0029154518950437317,,,,,0.004576659038901602,,,,,0.007492110933945334
review,,,,,0.002325581395348837,,,,,,0.005154639175257732,,,,,,0.007480220570606569
mission,,,,,,0.002881844380403458,,,,,,0.004576659038901602,,,,,0.007458503419305059
contractor,,,,,,,,0.007444168734491315,,,,,,,,,0.007444168734491315
location,,,,,,,,0.007444168734491315,,,,,,,,,0.007444168734491315
times,,,,,,,,0.007444168734491315,,,,,,,,,0.007444168734491315
sept,,,,,,,,0.007444168734491315,,,,,,,,,0.007444168734491315
force,,0.0016750418760469012,,,,0.005763688760806916,,,,,,,,,,,0.007438730636853817
urgent,0.007407407407407408,,,,,,,,,,,,,,,,0.007407407407407408
website,,,0.00558659217877095,,,,,,,,0.001718213058419244,,,,,,0.007304805237190194
course,,,,,0.002325581395348837,,,0.0024813895781637717,,,,,0.0024271844660194173,,,,0.007234155439532026
watch,,,,,,0.005763688760806916,0.0014577259475218659,,,,,,,,,,0.007221414708328782
which,,0.0016750418760469012,,,,,,,,,,,0.0024271844660194173,,,0.003105590062111801,0.0072078164041781195
cycle,,,,,,,,,,,,,,0.007177033492822967,,,0.007177033492822967
same,,,,,,,,,,,,,,0.007177033492822967,,,0.007177033492822967
quality,,,,,,,,,,,,0.002288329519450801,0.0024271844660194173,0.0023923444976076554,,,0.0071078584830778745
always,,,,,,,0.0058309037900874635,0.0012406947890818859,,,,,,,,,0.00707159857916935
point,,,,,,,,,,,0.001718213058419244,0.002288329519450801,,,0.003048780487804878,,0.0070553230656749235
hours,,,0.00558659217877095,,,,0.0014577259475218659,,,,,,,,,,0.0070443181262928155
held,,,0.00558659217877095,,,,0.0014577259475218659,,,,,,,,,,0.0070443181262928155
homepage,,,,,0.004651162790697674,,,,,,,,,0.0023923444976076554,,,0.00704350728830533
much,,,,,0.002325581395348837,,,,,,,0.002288329519450801,0.0024271844660194173,,,,0.007041095380819055
few,,,,,,,,,,0.002173913043478261,,,0.0024271844660194173,0.0023923444976076554,,,0.0069934420071053344
plan,,,,,0.0069767441860465115,,,,,,,,,,,,0.0069767441860465115
said,,,,,,,,,,,,0.004576659038901602,,0.0023923444976076554,,,0.006969003536509257
operational,,,,,,,,,0.003861003861003861,,,,,,,0.003105590062111801,0.006966593923115662
developing,,,,,,,,,0.003861003861003861,,,,,,,0.003105590062111801,0.006966593923115662
external,,,,,,,,,0.003861003861003861,,,,,,,0.003105590062111801,0.006966593923115662
does,,,,,,,0.0014577259475218659,,,,,,0.0024271844660194173,,0.003048780487804878,,0.006933690901346161
overview,,,,,,,,,0.003861003861003861,,,,,,0.003048780487804878,,0.006909784348808739
hope,,,,0.0045871559633027525,,,,,,,,0.002288329519450801,,,,,0.006875485482753553
especially,,,,0.0045871559633027525,,,,,,,,0.002288329519450801,,,,,0.006875485482753553
resume,,,,,,,,,,,0.006872852233676976,,,,,,0.006872852233676976
vacancy,,,,,,,,,,,0.006872852233676976,,,,,,0.006872852233676976
ic,,,,,,,,,,,0.006872852233676976,,,,,,0.006872852233676976
permanent,,,,,,,,,,,,0.006864988558352402,,,,,0.006864988558352402
negroponte,,,,,,,,,,,,0.006864988558352402,,,,,0.006864988558352402
c,,,,,,,0.0029154518950437317,,,0.002173913043478261,0.001718213058419244,,,,,,0.006807577996941237
makes,,,,,,0.002881844380403458,0.0014577259475218659,,,,,,0.0024271844660194173,,,,0.006766754793944741
interested,,,,0.0045871559633027525,,,,,,0.002173913043478261,,,,,,,0.006761069006781013
united,,,,,,,,,,0.002173913043478261,,0.004576659038901602,,,,,0.006750572082379863
wooden,,0.006700167504187605,,,,,,,,,,,,,,,0.006700167504187605
spaghetti,,0.006700167504187605,,,,,,,,,,,,,,,0.006700167504187605
along,,,,,0.002325581395348837,,0.004373177842565598,,,,,,,,,,0.006698759237914435
impact,0.003703703703703704,,,,,,,0.0012406947890818859,,,0.001718213058419244,,,,,,0.006662611551204833
washington,,,,,,,,,,0.004347826086956522,,0.002288329519450801,,,,,0.006636155606407323
among,,,,,,0.002881844380403458,0.0014577259475218659,,,,,0.002288329519450801,,,,,0.0066278998473761255
following,0.003703703703703704,0.0016750418760469012,,,,,,0.0012406947890818859,,,,,,,,,0.006619440368832491
war,0.003703703703703704,,,,,0.002881844380403458,,,,,,,,,,,0.006585548084107162
personal,0.003703703703703704,,,,,0.002881844380403458,,,,,,,,,,,0.006585548084107162
description,,,,,,,,,,0.006521739130434782,,,,,,,0.006521739130434782
city,,,,,,,,,,0.006521739130434782,,,,,,,0.006521739130434782
immediate,,,,,,0.002881844380403458,,0.0012406947890818859,,,,,,0.0023923444976076554,,,0.006514883667093
managers,,,,,,,,,,,0.001718213058419244,,,0.004784688995215311,,,0.006502902053634555
long,,0.0016750418760469012,,,,,,,,,0.001718213058419244,,,,,0.003105590062111801,0.006498844996577946
functions,,,,,0.002325581395348837,,,,,,0.001718213058419244,,0.0024271844660194173,,,,0.006470978919787498
current,,0.0016750418760469012,,,,,,0.0012406947890818859,,,0.003436426116838488,,,,,,0.006352162781967275
coordination,,,,,,0.002881844380403458,,,,,0.003436426116838488,,,,,,0.006318270497241946
called,,0.0016750418760469012,,,,,,,,0.002173913043478261,,,0.0024271844660194173,,,,0.006276139385544579
early,,0.0016750418760469012,,0.0045871559633027525,,,,,,,,,,,,,0.006262197839349654
uranium,,,,,,,,,,,,,,,,0.006211180124223602,0.006211180124223602
weapons,,,,,,,,,,,,,,,,0.006211180124223602,0.006211180124223602
programs,,,,,,,,,,,,,,,,0.006211180124223602,0.006211180124223602
product,,,,,,,,,,,,,,,,0.006211180124223602,0.006211180124223602
treaty,,,,,,,,,,,,,,,,0.006211180124223602,0.006211180124223602
framework,,,,,,,,,,,,,,,,0.006211180124223602,0.006211180124223602
china,,,,,,,,,,,,,,,,0.006211180124223602,0.006211180124223602
department,,,,,,,,,,,,,,,,0.006211180124223602,0.006211180124223602
apr,,,,,,,,0.00620347394540943,,,,,,,,,0.00620347394540943
aug,,,,,,,,0.00620347394540943,,,,,,,,,0.00620347394540943
instructor,,,,,,,,0.00620347394540943,,,,,,,,,0.00620347394540943
